[88, -110, -68, -6, 0, -126, -2, -48, 48, -24, -62, 126, -100, 34, -126, 28, -96, 44, 126, 126, -62, 6, -112, -66, 92, -126, -102, 78, -120, 46, -18, 28, -30, -98, -64, -96, -92, 8, -66, -80, 28, -96, -38, -112, -14, 72, 52, 4, 102, -16, 106, -96, 110, -20, -22, 14, 10, -120, -54, -48, -48, -46, 10, -102]
[-24, -98, 56, -66, -126, -8, -6, 38, -112, 14, -76, 82, 24, 54, -34, -14, 2, -48, 72, 94, -114, 30, 56, 0, 0, -86, -78, 48, 84, 6, -118, -44, -94, -54, 24, 6, 28, -58, -22, 118, -46, 66, -50, 50, -126, -126, -62, -70, 106, 64, 54, 126, 44, 98, -78, 48, 28, 16, -54, 6, 28, -94, 96, -104]
[-72, -24, -124, -24, 34, 98, 78, 126, 80, 54, -60, 18, -38, 64, 84, -56, -108, -12, -86, 28, 62, 32, 2, -96, -72, 0, 56, -24, -86, -56, -28, 86, -92, -112, 80, -44, -14, 56, -26, 102, 36, 14, 104, 80, -4, -62, 0, 48, -46, -126, 54, 38, -50, -116, 102, 0, 2, -126, 48, 30, 110, -94, -38, 22]
[54, 38, 96, 54, 120, 60, 34, 64, 88, 30, 36, 112, 120, 2, 62, 76, 62, 44, 82, 6, 122, 18, 0, 26, 48, 30, 112, 8, 6, 0, 64, 64, 26, 12, 82, 58, 30, 58, 36, 74, 112, 58, 52, 12, 78, 20, 64, 0, 40, 0, 30, 122, 100, 82, 42, 68, 104, 88, 2, 118, 10, 90, 20, 110]
[24, 30, -22, 14, -24, -102, 10, -112, -2, 124, -102, -36, -24, 78, 74, -12, 62, 0, 0, 102, -120, -62, 64, -14, -8, 48, -88, 0, -72, 102, 0, 0, 88, -112, 48, 16, 110, 30, -126, 24, -96, 96, -64, -102, 6, -62, -102, -94, -12, -122, 50, 68, -68, 24, 4, -92, -110, -24, 102, 126, 56, 0, -78, 0]
[64, -30, -102, -78, 30, 24, 112, -120, -8, 98, 98, -64, -94, 62, -32, -12, 70, 76, 20, 0, 46, 36, 112, -112, -30, 78, -2, 14, -98, 0, 74, 82, 76, -86, 78, -6, -18, -70, 64, 126, -42, 92, -64, -126, -76, 82, 126, 70, 110, -102, 0, -30, 86, 118, 52, -64, -48, 56, 6, -40, -62, 72, -36, -38]
[-114, 26, -104, -78, -28, -122, -88, 118, 52, 56, -64, -38, -60, 0, -126, 66, -96, 96, -8, -62, -48, -62, -72, 30, 62, 78, -110, 0, -80, 48, -16, 0, -112, -30, -96, -78, 0, 46, 30, 126, 102, -80, -8, 64, 30, 62, -120, -78, 0, 126, -40, -126, -54, 14, 112, -96, -78, 62, -112, 0, 6, -30, -24, -112]
[16, 66, 60, 8, 8, 66, 96, 32, 48, 96, 42, 0, 58, 126, 48, 32, 32, 12, 86, 6, 22, 100, 0, 88, 80, 24, 112, 94, 54, 36, 16, 12, 10, 8, 100, 72, 2, 16, 30, 114, 106, 110, 56, 0, 88, 8, 2, 62, 62, 70, 104, 78, 16, 30, 88, 30, 50, 6, 20, 70, 112, 110, 96, 18]
[-48, -64, 8, -78, 104, -106, 120, -2, 90, -54, -46, 30, 44, 120, -24, 56, -54, -100, 48, -126, 82, -114, 64, -48, 126, -8, -56, 44, 48, 126, 0, 50, 0, -112, -38, 48, 0, -48, -110, 0, 110, -48, -86, -78, 14, 32, 24, 78, 30, 48, 112, 126, -32, 112, 46, 0, 8, -30, 54, 110, 120, -126, 88, 30]
[-126, 0, -126, -126, 0, 0, -126, -126, 0, 0, -126, -126, 0, -126, -126, 0, 0, -126, -126, 0, 0, -126, 0, 0, -126, -126, 0, 0, -126, -126, -126, 0, -126, 0, -126, -126, 0, 0, -126, -126, 0, 0, -126, -126, 0, -126, -126, 0, 0, -126, -126, 0, 0, -126, 0, 0, -126, -126, 0, 0, -126, -126, -126, 0]
[-126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126]
[-126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126, -126]
[-254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254]
[-254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254]
[-254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254, -254]
