00	00	00	00	04	10	00	00	bd	ab	dc	fe	73	ee	73	f3	db	57	df	6f	c8	a3	dd	79	4f	74	67	b9	9a	a3	de	8f	6e	fc	23	91	bb	6d	ae	8e	66	cc	23	11	eb	4d	ae	84	76	cf	ab	51	e9	4d	ae	06	72	ef	ab	41	c9	4d	ae	06	72	ef	ab	41	c9	4d	ae	1e	72	af	2b	41	49	4d	8e	1e	
00	00	00	00	04	00	00	00	bd	ab	dc	fe	73	fe	73	f3	5b	57	cf	6f	c8	b3	dd	09	ca	74	57	11	8a	31	8e	f7	c6	cc	33	91	9a	d5	8e	7e	e7	cc	32	b9	b9	4f	ae	5c	67	7c	23	b9	b9	cf	ee	9c	67	24	22	a1	39	cf	7e	0c	66	7e	23	a1	79	cf	7e	ac	66	7e	a3	a1	f9	4f	6c	ae	
00	00	00	00	04	00	00	00	9d	a3	dc	fe	73	ba	53	f3	7b	4d	4f	69	c8	f7	fd	09	ea	5e	b3	17	88	75	ae	65	e6	7e	a2	97	9a	45	2e	de	66	be	e2	a7	1b	cf	ae	be	66	bc	37	85	2b	cd	ac	be	24	bc	35	11	2b	cd	ac	3e	64	be	37	11	a9	4d	ac	5e	64	be	05	38	ab	5d	ac	5e	
00	00	00	00	00	00	00	00	9d	ab	dc	fe	56	b6	53	f3	7b	44	47	21	ed	fb	fc	09	62	57	a3	4f	ad	59	af	04	e6	77	98	5e	2f	49	2d	b0	ec	35	3a	d9	29	6d	2d	7f	ac	9c	3a	91	bb	4d	26	7f	ae	9c	3b	91	b3	4c	a6	fe	ae	9c	3b	91	b3	cc	a6	fe	26	9e	3b	91	b1	cc	a6	fe	
00	00	00	00	00	00	00	00	99	23	dc	fe	46	b2	53	f1	6e	8c	47	01	fd	fd	fc	03	67	df	83	69	3d	4f	2d	0e	b5	df	28	6e	b9	4f	ae	2e	bd	f8	3a	3e	b3	5e	a2	fe	fc	fc	3a	16	b3	5c	a2	de	f6	7c	b8	97	9b	5c	87	fe	f6	7c	bb	97	99	5d	a7	5e	76	7c	b9	97	bb	5d	af	7e	
00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	10	00	00	08	00	00	00	00	00	00	01	08	00	00	00	00	10	00	01	08	00	00	00	04	10	00	01	
00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	10	00	00	00	00	00	00	00	10	00	01	00	00	00	00	00	10	00	01	
00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	08	00	00	00	04	10	00	00	00	00	00	00	04	10	00	00	00	00	00	00	04	10	00	01	00	00	00	00	00	10	00	01	
00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	08	00	00	00	04	00	00	01	00	00	00	00	04	10	00	01	08	00	00	00	04	10	00	00	
00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	10	00	00	00	00	00	00	00	10	00	00	00	00	00	00	00	10	00	00	
00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	01	00	00	00	00	00	00	00	01	00	00	00	00	04	10	00	01	
00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	10	00	00	00	00	00	00	00	00	00	00	08	00	00	00	04	10	00	00	
00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	10	00	00	00	00	00	00	00	00	00	01	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	01	
00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	10	00	00	00	00	00	00	00	00	00	00	00	00	00	00	04	00	00	00	00	00	00	00	04	00	00	00	08	00	00	00	04	00	00	01	
00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	00	10	00	00	00	00	00	00	00	10	00	00	08	00	00	00	04	10	00	00	00	00	00	00	04	10	00	00	
